Date	Close
1/2/19	190.949997
1/3/19	183.759995
1/4/19	191.320007
1/7/19	190.880005
1/8/19	191.679993
1/9/19	192.300003
1/10/19	193.600006
1/11/19	192.210007
1/14/19	192.169998
1/15/19	188.940002
1/16/19	189.479996
1/17/19	191.710007
1/18/19	195.860001
1/22/19	192.259995
1/23/19	192.289993
1/24/19	192.520004
1/25/19	195.899994
1/28/19	193.199997
1/29/19	196.949997
1/30/19	199.270004
1/31/19	200.300003
2/1/19	199.160004
2/4/19	200.210007
2/5/19	201.119995
2/6/19	202.570007
2/7/19	199.839996
2/8/19	199.820007
2/11/19	200.910004
2/12/19	206.570007
2/13/19	209.720001
2/14/19	204.929993
2/15/19	208.860001