Date,Pred,Actual
1/2/19,206.81161,190.949997
1/3/19,204.70233,183.759995
1/4/19,202.60735,191.320007
1/7/19,201.20663,190.880005
1/8/19,200.72574,191.679993
1/9/19,200.5528,192.300003
1/10/19,199.92891,193.600006
1/11/19,198.84004,192.210007
1/14/19,197.1584,192.169998
1/15/19,195.30554,188.940002
1/16/19,193.61554,189.479996
1/17/19,192.06003,191.710007
1/18/19,190.92467,195.860001
1/22/19,191.18997,192.259995
1/23/19,192.47154,192.289993
1/24/19,193.91217,192.520004
1/25/19,195.48346,195.899994
1/28/19,197.00285,193.199997
1/29/19,198.25972,196.949997
1/30/19,199.55756,199.270004
1/31/19,200.75969,200.300003
2/1/19,201.93149,199.160004
2/4/19,202.94057,200.210007
2/5/19,203.51361,201.119995
2/6/19,203.46675,202.570007
2/7/19,203.36848,199.839996
2/8/19,203.76694,199.820007
2/11/19,204.51828,200.910004
2/12/19,205.00122,206.570007
2/13/19,205.1447,209.720001
2/14/19,204.46112,204.929993
2/15/19,203.59802,208.860001